"id","date","time","latitude","longitude","type","picture_url","comments","email","reg_date"
"11","02/10/15","11:00","42.450000000000","76.510000000000","fur","to follow","sighting","john@gmail.com","2015-03-09 02:15:30"
"12","02/12/15","12:00","42.450000000000","76.510000000000","fur","to follow","sighting","john@gmail.com","2015-03-09 02:25:31"
"14","3/8/15","11:18 PM","42.461001000000","-76.483907000000","Scat","bhal","Test data","test@gmail.com","2015-03-09 03:18:54"
"15","3/9/15","6:13 PM","42.461001000000","-76.483907000000","Bear Sighting","image.jpeg","comments","test@gmail.com","2015-03-09 22:13:46"
"16","3/9/15","6:13 PM","42.461001000000","-76.483907000000","Bear Sighting","image.jpeg","comments","test@gmail.com","2015-03-09 22:13:57"
"17","3/9/15","6:15 PM","42.461001000000","-76.483907000000","Paw print","image.jpeg","comments","test@gmail.com","2015-03-09 22:15:52"
"18","3/9/15","9:36 PM","42.461014000000","-76.483682000000","Bear Sighting","image.jpeg","comments","test@gmail.com","2015-03-10 01:36:56"
"19","","","0.000000000000","0.000000000000","","","","","2015-03-10 03:16:04"
"20","","","0.000000000000","0.000000000000","","","","","2015-03-10 03:31:18"
"21","","","0.000000000000","0.000000000000","","","","","2015-03-16 01:31:55"
